#Min,	        PogChamp,       BibleThump,               <3,          GivePLZ,         PipeHype,            Kappa,        tothHeart,          WutFace,               :),          TakeNRG,      NotLikeThis,         Kreygasm,        tothMoney,       KappaPride,          OhMyDog,       tothPotato,           VoHiYo,            SMOrc,        KappaRoss,      tothROASTED,        SwiftRage,        taggChamp,               :D,  AMPEnergyCherry,            4Head,               :(,       tothRibbon,          VoteYea,      bleedPurple,         FrankerZ,        tothLange,      tothSpycrab,          HeyGuys,    MrDestructoid,         raysLove,        SeemsGood,         DansGame,    sideshowChamp,     tothDorkcube,        EleGiggle,       twitchRaid,         codScout,       trukPootis,           OpieOP,          TriHard,          slinDab,      DoritosChip,     AMPTropPunch,        taggFries,         cmonBruh,                   # Date
1590,              777,              630,              285,              517,               12,              112,               96,              111,              112,               81,               47,               67,               44,               94,                3,                6,                0,              116,               21,               22,                5,               19,               17,                4,                9,               41,               23,               24,               15,                3,               13,                5,               22,                1,              134,               22,               46,                0,                6,                4,                0,               13,               34,                3,                1,                5,                0,                1,                2,               12,            31940,  	# Sept 18, 14:
1650,             5024,              101,              121,              210,             1011,              173,               21,              131,              355,              108,              177,              254,               28,              191,               18,               17,               60,              239,                7,                6,               24,               38,               27,                0,               29,               16,               14,                1,                0,               40,                1,                0,               96,                4,               13,               45,               35,                5,                2,                7,                0,                0,                1,                6,               71,                0,               30,               11,                0,                3,            47554,  	# Sept 18, 15:
1710,             1758,               20,               52,               76,             5897,              217,               92,               99,              134,               46,              122,               70,              126,               61,              114,               48,              237,               12,               11,              122,               13,                5,               27,                7,              125,               20,                4,                1,                4,               57,               32,               13,               10,                5,                1,               22,               25,                0,                4,                4,                0,                0,                5,                1,               34,               17,                2,                0,                0,                9,            50963,  	# Sept 18, 16:
1770,             4744,             1694,             1045,               48,              586,              245,              296,               95,               42,               31,               50,              160,              120,              304,               13,               51,               29,               33,                5,              147,               63,              185,               22,             1207,               20,               86,               85,              135,               23,               11,               30,              255,               14,                4,               19,                7,               19,                6,               77,                3,                6,              175,                0,                4,               34,                0,                9,                2,                0,               13,            54134,  	# Sept 18, 17:
1830,              425,              304,              484,               57,               44,              230,              274,              120,              196,               30,               45,              155,               88,               83,               21,               32,               40,                4,               55,               49,               17,               31,               20,              219,               62,               16,               27,               60,                3,               12,               18,                8,               73,                3,               10,               16,               22,               49,               26,                7,                1,              207,                0,               11,               17,                9,               20,                1,                4,                3,            31961,  	# Sept 18, 18:
1890,             1137,             1584,              753,              113,               58,               58,              345,               23,               61,               14,               11,              108,              229,               16,               10,              150,                3,                1,                0,               84,               10,               15,               16,                5,               13,               22,              127,               10,               22,                1,               69,               11,               10,                6,                6,               11,               18,               18,                8,                7,                1,                1,               12,                5,                6,                0,                9,                1,                5,                2,            33711,  	# Sept 18, 19:
1950,             2295,              541,              217,              153,              371,              104,              116,              297,               37,               78,             2965,               94,              160,               27,               33,               26,               39,               57,               32,               49,               44,               80,               34,                0,               24,               25,               25,              292,               18,                4,               38,               39,              131,              847,                1,               10,               29,               12,               13,               15,                3,               11,               42,                6,                2,                0,                4,                4,               18,                8,            56923,  	# Sept 18, 20:
2010,             2151,               71,               88,              192,               40,              326,               60,               51,               95,               59,              130,              169,              294,              125,               64,               14,              803,              204,               19,              248,              222,              599,               37,               12,               80,               33,               14,               88,                1,                3,                3,              111,               15,                0,                1,               27,               35,              322,               43,               49,              255,                8,               17,               10,               16,               10,              237,               10,              115,                9,            61412,  	# Sept 18, 21:
2070,             2793,              168,              703,              259,                3,              167,              409,               68,               76,               41,              113,              107,              339,               39,              238,               42,              206,                3,                5,               40,              599,              226,               43,                0,               22,               33,               38,               51,               13,                0,                4,               13,               38,                3,               93,               15,               24,              101,               71,               27,              351,                0,              282,                8,               18,              210,                0,                0,                0,               15,            54448,  	# Sept 18, 22:
2130,             1029,             1323,             2882,              262,                0,              141,              840,               51,               95,               78,               13,               51,              172,               41,              921,              306,              202,               14,                3,              124,               31,               16,               34,                1,               15,               96,              208,               24,              175,               66,              140,              112,               17,               15,              152,               24,               16,               86,              115,               15,               92,                1,               12,               31,                9,               70,               26,                0,               73,               12,            56896,  	# Sept 18, 23:
2190,              738,             5828,             2910,              320,               12,              124,              761,              134,              298,              133,               74,               66,              209,               68,               80,              264,                8,                5,             1214,              149,                5,               42,              315,                5,               23,              169,              174,               95,              536,               10,               51,               39,               17,                0,              176,               29,               20,                6,               33,               15,                0,                4,               11,               56,              123,               73,                6,                5,                4,               55,            56909,  	# Sept 19, 00:
