#start
# timestamp, 	data
1474068336.0,	65729
1474068445.0,	65961
1474068554.0,	66054
1474068608.0,	66104
1474068774.0,	66126
1474068830.0,	66146
1474068884.0,	66156
1474068992.0,	66166
1474069046.0,	66201
1474069156.0,	66341
1474069211.0,	66361
1474069265.0,	66521
1474069318.0,	67141
1474069374.0,	67371
1474069429.0,	67379
1474069484.0,	67419
1474069592.0,	67536
1474069701.0,	67666
1474069757.0,	67671
1474069812.0,	67772
1474069865.0,	67847
1474069974.0,	67879
1474070246.0,	67909
1474070469.0,	68039
1474070585.0,	68050
1474070642.0,	68126
1474070807.0,	68171
1474070917.0,	68281
1474071026.0,	68291
1474071413.0,	68301
1474071578.0,	68901
1474071797.0,	68921
1474071854.0,	68943
1474071908.0,	68953
1474071963.0,	69044
1474072341.0,	69074
1474072395.0,	69174
1474072772.0,	69177
1474072987.0,	69187
1474073041.0,	69189
1474073203.0,	69260
1474073364.0,	69360
1474073418.0,	69380
1474073528.0,	69390
1474073582.0,	69490
1474073636.0,	69540
1474073690.0,	69542
1474073904.0,	69552
1474074065.0,	69582
1474074119.0,	69592
1474074226.0,	69622
1474074387.0,	69624
1474074496.0,	69626
1474074549.0,	69727
1474074603.0,	69729
1474074657.0,	69734
1474074711.0,	69760
1474074765.0,	69774
1474074872.0,	70014
1474074925.0,	70214
1474074979.0,	70239
1474075033.0,	70245
1474075087.0,	70315
1474075194.0,	70417
1474075355.0,	70459
1474075408.0,	70540
1474075462.0,	70740
1474075516.0,	70752
1474075624.0,	70802
1474075678.0,	70812
1474075893.0,	70912
1474075947.0,	70944
1474076001.0,	71044
1474076109.0,	71111
1474076163.0,	71216
1474076216.0,	71346
1474076270.0,	71952
1474076647.0,	71959
1474076701.0,	72109
1474076755.0,	72620
1474076810.0,	72637
1474076864.0,	72681
1474076971.0,	72977
1474077026.0,	72997
1474077079.0,	73027
1474077133.0,	73047
1474077188.0,	73059
1474077295.0,	73089
1474077349.0,	73285
1474077403.0,	73315
1474077619.0,	73363
1474077673.0,	73473
1474077726.0,	73503
1474077888.0,	73505
1474078317.0,	73535
1474078371.0,	73555
1474078425.0,	73565
1474078640.0,	73605
1474078747.0,	73675
1474078907.0,	73685
1474079014.0,	73793
1474079067.0,	73803
1474079178.0,	73924
1474079231.0,	73942
1474079285.0,	73979
1474079392.0,	73983
1474079446.0,	74013
1474079715.0,	74015
1474079822.0,	74025
1474080037.0,	74055
1474080091.0,	74087
1474080467.0,	74097
1474080682.0,	74126
1474080790.0,	74136
1474080950.0,	74196
1474081057.0,	74266
1474081165.0,	74296
1474081219.0,	74298
1474081488.0,	74398
1474081920.0,	74462
1474082189.0,	74472
1474082568.0,	74488
1474082677.0,	74533
1474082731.0,	74559
1474082785.0,	74659
1474082839.0,	74689
1474082893.0,	74699
1474083001.0,	74831
1474083216.0,	74942
1474083270.0,	75043
1474083485.0,	75054
1474083538.0,	75134
1474083861.0,	75144
1474084023.0,	75170
1474084507.0,	75180
1474084775.0,	75190
1474084882.0,	75200
1474084935.0,	75222
1474086057.0,	75274
1474086751.0,	75299
1474086858.0,	75399
1474087393.0,	75409
1474087501.0,	75420
1474087607.0,	75430
1474087874.0,	75441
1474087927.0,	75455
1474088196.0,	75482
1474089480.0,	75492
1474090657.0,	75522
1474090924.0,	75532
1474091512.0,	75542
1474095312.0,	75552
1474099383.0,	75564
1474100128.0,	75575
1474101513.0,	75645
1474103375.0,	75676
1474103481.0,	75684
1474103534.0,	75714
1474103694.0,	75726
1474103748.0,	75736
1474105078.0,	75766
1474105131.0,	75776
1474105397.0,	75786
1474105504.0,	75787
1474105610.0,	75797
1474106302.0,	75817
1474107419.0,	75821
1474111572.0,	75855
1474112954.0,	75889
1474113327.0,	75891
1474113380.0,	75901
1474114444.0,	75931
1474115721.0,	75932
1474116577.0,	75944
1474116630.0,	75974
1474117268.0,	76006
1474117481.0,	76016
1474117694.0,	76116
1474118173.0,	76136
1474118918.0,	76236
1474118971.0,	76242
1474119717.0,	76252
1474120625.0,	76262
1474121212.0,	76292
1474121585.0,	76393
1474121904.0,	76403
1474122277.0,	76413
1474122437.0,	76463
1474122973.0,	76493
1474123027.0,	76505
1474123346.0,	76515
1474123400.0,	76545
1474123506.0,	76645
1474124040.0,	76675
1474126332.0,	76685
1474126599.0,	76785
1474126652.0,	76789
1474127772.0,	76889
1474128252.0,	76919
1474128308.0,	76989
1474128362.0,	76999
1474128417.0,	77032
1474128470.0,	77116
1474128580.0,	77184
1474128636.0,	77585
1474128689.0,	77620
1474128745.0,	77782
1474128800.0,	77813
1474128856.0,	77953
1474128909.0,	77998
1474129018.0,	78269
1474129073.0,	78309
1474129242.0,	78434
1474129296.0,	78506
1474129403.0,	78531
1474129459.0,	78661
1474129516.0,	78681
1474129569.0,	78883
1474129623.0,	78996
1474129678.0,	79063
1474129733.0,	79194
1474129841.0,	79205
1474129896.0,	79242
1474129950.0,	79344
1474130061.0,	79388
1474130115.0,	79398
1474130169.0,	79928
1474130278.0,	79999
1474130442.0,	80001
1474130496.0,	80110
1474130550.0,	80225
1474130661.0,	80235
1474130823.0,	80736
1474130877.0,	80766
1474130933.0,	80832
1474131040.0,	80842
1474131095.0,	80982
1474131149.0,	81054
1474131205.0,	81069
1474131478.0,	81109
1474131695.0,	81141
1474131750.0,	81197
1474131805.0,	81340
1474131861.0,	81350
1474131971.0,	81360
1474132026.0,	81390
1474132080.0,	82426
1474132135.0,	82456
1474132462.0,	82556
1474132626.0,	82591
1474132681.0,	82602
1474132736.0,	82612
1474132898.0,	82742
1474132953.0,	82754
1474133009.0,	82764
1474133062.0,	82965
1474133116.0,	82970
1474133226.0,	82985
1474133281.0,	83065
1474133334.0,	83154
1474133443.0,	83234
1474133497.0,	83244
1474133553.0,	83299
1474133608.0,	83340
1474133662.0,	83440
1474133716.0,	83642
1474133771.0,	83672
1474133825.0,	83703
1474133936.0,	83733
1474134044.0,	83834
1474134099.0,	83864
1474134263.0,	83896
1474134317.0,	83931
1474134371.0,	83941
1474134480.0,	84041
1474134643.0,	84296
1474134753.0,	84316
1474134808.0,	84318
1474134972.0,	84534
1474135026.0,	84562
1474135136.0,	84572
1474135245.0,	84704
1474135300.0,	84748
1474135466.0,	84868
1474135521.0,	84918
1474135575.0,	84948
1474135684.0,	84960
1474135741.0,	84972
1474135795.0,	85075
1474135910.0,	85085
1474136072.0,	85095
1474136130.0,	85121
1474136404.0,	85412
1474136517.0,	85442
1474136681.0,	85449
1474136735.0,	85496
1474136790.0,	85581
1474136844.0,	85619
1474136899.0,	85623
1474136954.0,	85685
1474137008.0,	85686
1474137063.0,	85699
1474137175.0,	85799
1474137284.0,	85800
1474137339.0,	85830
1474137394.0,	85843
1474137455.0,	85868
1474137563.0,	85968
1474137620.0,	86078
1474137683.0,	86088
1474137856.0,	86100
1474137965.0,	86140
1474138019.0,	86170
1474138073.0,	86171
1474138236.0,	86181
1474138291.0,	86191
1474138453.0,	86241
1474138617.0,	86261
1474138730.0,	86271
1474138785.0,	86314
1474138897.0,	86326
1474138950.0,	86336
1474139008.0,	86366
1474139061.0,	86966
1474139170.0,	86967
1474139224.0,	86969
1474139278.0,	86990
1474139332.0,	87001
1474139502.0,	87011
1474139610.0,	87071
1474139664.0,	87248
1474139719.0,	87258
1474139773.0,	87274
1474139829.0,	87449
1474139885.0,	87491
1474139938.0,	87498
1474140157.0,	87534
1474140213.0,	87544
1474140266.0,	87645
1474140320.0,	88150
1474140428.0,	88260
1474140484.0,	88330
1474140538.0,	88602
1474140702.0,	88612
1474140757.0,	88712
1474140812.0,	88722
1474140865.0,	88853
1474140920.0,	88986
1474141029.0,	89122
1474141084.0,	89132
1474141137.0,	90143
1474141246.0,	90153
1474141301.0,	90263
1474141355.0,	90489
1474141409.0,	90499
1474141519.0,	90529
1474141574.0,	91174
1474141684.0,	91300
1474141737.0,	91319
1474141846.0,	91349
1474141901.0,	91389
1474142009.0,	91399
1474142118.0,	91426
1474142225.0,	91442
1474142279.0,	91498
1474142334.0,	91606
1474142444.0,	91666
1474142498.0,	91668
1474142606.0,	91741
1474142662.0,	91771
1474142715.0,	91791
1474142769.0,	91841
1474142824.0,	91947
1474142878.0,	91977
1474142986.0,	92007
1474143041.0,	92018
1474143095.0,	92043
1474143150.0,	92058
1474143205.0,	92159
1474143314.0,	92169
1474143477.0,	92227
1474143586.0,	92247
1474143640.0,	92250
1474143694.0,	92291
1474143748.0,	92332
1474143858.0,	92619
1474143912.0,	92639
1474143967.0,	92799
1474144021.0,	92939
1474144183.0,	93114
1474144238.0,	93204
1474144291.0,	93326
1474144405.0,	93346
1474144460.0,	93356
1474144513.0,	93376
1474144568.0,	93516
1474144622.0,	93704
1474144677.0,	93736
1474144785.0,	94031
1474144839.0,	94141
1474144949.0,	94151
1474145057.0,	94281
1474145111.0,	94411
1474145325.0,	94551
1474145380.0,	94552
1474145436.0,	94556
1474145555.0,	94566
1474145609.0,	94688
1474145663.0,	94788
1474145935.0,	95450
1474146319.0,	95504
1474147024.0,	95574
1474147242.0,	95589
1474147350.0,	95721
1474147406.0,	95765
1474147461.0,	96030
1474147514.0,	96096
1474147568.0,	96266
1474147622.0,	96276
1474147677.0,	96396
1474147786.0,	96406
1474147840.0,	96548
1474147894.0,	96578
1474147948.0,	96593
1474148113.0,	96623
1474148167.0,	96625
1474148276.0,	96627
1474148386.0,	96648
1474148439.0,	96652
1474148547.0,	96653
1474148601.0,	96785
1474148711.0,	96803
1474148764.0,	96903
1474148818.0,	96933
1474148982.0,	96951
1474149091.0,	96961
1474149255.0,	97001
1474149310.0,	97011
1474149421.0,	97021
1474149474.0,	97031
1474149691.0,	97104
1474149749.0,	97109
1474150051.0,	0
1474150883.0,	97369
1474151101.0,	97384
1474151155.0,	97484
1474151209.0,	97619
1474151318.0,	97925
1474151373.0,	98010
1474151427.0,	98050
1474151481.0,	98156
1474151535.0,	98231
1474151644.0,	98261
1474151761.0,	98305
1474151817.0,	98357
1474151870.0,	98367
1474151924.0,	98482
1474151978.0,	98618
1474152032.0,	98718
1474152141.0,	98959
1474152303.0,	98969
1474152359.0,	99083
1474152414.0,	99293
1474152468.0,	99509
1474152522.0,	100520
1474152578.0,	100629
1474152631.0,	100759
1474152685.0,	100784
1474152740.0,	100884
1474152794.0,	100914
1474152905.0,	101034
1474153014.0,	101041
1474153123.0,	101051
1474153286.0,	101056
1474153505.0,	101156
1474153613.0,	101157
1474153721.0,	101259
1474153939.0,	101576
1474154047.0,	101590
1474154319.0,	101670
1474154372.0,	101718
1474154426.0,	101788
1474154535.0,	101798
1474154696.0,	102130
1474154750.0,	102224
1474154909.0,	102324
1474154962.0,	102350
1474155015.0,	102500
1474155175.0,	102530
1474155230.0,	102564
1474155336.0,	102664
1474155390.0,	102684
1474155444.0,	102812
1474155499.0,	102818
1474155606.0,	102829
1474155659.0,	102879
1474155768.0,	102889
1474155822.0,	102999
1474155874.0,	103022
1474155928.0,	103159
1474155981.0,	103269
1474156143.0,	103374
1474156357.0,	103492
1474156411.0,	103632
1474156464.0,	103680
1474156518.0,	103710
1474156731.0,	103740
1474156838.0,	103780
1474156892.0,	103790
1474157055.0,	103845
1474157163.0,	103865
1474157270.0,	104019
1474157324.0,	104029
1474157430.0,	104059
1474157484.0,	104069
1474157702.0,	104074
1474157756.0,	104174
1474157810.0,	104194
1474157919.0,	104260
1474157973.0,	104407
1474158080.0,	104414
1474158134.0,	104434
1474158241.0,	104436
1474158348.0,	104446
1474158403.0,	104546
1474158458.0,	104556
1474158512.0,	104576
1474158728.0,	104615
1474158835.0,	105615
1474158889.0,	105625
1474158942.0,	105635
1474158996.0,	105645
1474159534.0,	105755
1474159856.0,	105759
1474159909.0,	105904
1474159963.0,	106000
1474160018.0,	106100
1474160072.0,	106200
1474160126.0,	106280
1474160286.0,	106380
1474160398.0,	106428
1474160452.0,	106453
1474160505.0,	106463
1474160559.0,	106464
1474160612.0,	106469
1474160666.0,	106490
1474160720.0,	106525
1474160827.0,	106595
1474160881.0,	106654
1474161044.0,	106705
1474161152.0,	106735
1474161205.0,	106750
1474161259.0,	106796
1474161367.0,	106806
1474161421.0,	106860
1474161475.0,	106925
1474161582.0,	107035
1474161689.0,	107080
1474161796.0,	107142
1474161904.0,	107149
1474162012.0,	107332
1474162067.0,	107458
1474162123.0,	107513
1474162177.0,	107651
1474162284.0,	107661
1474162445.0,	107690
1474162499.0,	107701
1474162553.0,	107751
1474162606.0,	107962
1474162714.0,	107972
1474162879.0,	107984
1474162987.0,	108034
1474163041.0,	108064
1474163095.0,	108084
1474163204.0,	108106
1474163478.0,	108107
1474163586.0,	108117
1474163910.0,	108127
1474164021.0,	108227
1474164509.0,	108229
1474164939.0,	108264
1474164993.0,	108274
1474165100.0,	108284
1474165207.0,	108296
1474165260.0,	108306
1474165530.0,	108311
1474165800.0,	108321
1474165908.0,	108346
1474166016.0,	108396
1474166124.0,	108439
1474166178.0,	108469
1474166393.0,	108494
1474166501.0,	108511
1474166555.0,	108541
1474166610.0,	108601
1474166718.0,	108731
1474166827.0,	108917
1474166881.0,	108947
1474166934.0,	108958
1474166989.0,	108978
1474167044.0,	109149
1474167153.0,	109156
1474167207.0,	109178
1474167260.0,	109631
1474167368.0,	110481
1474167426.0,	110482
1474167480.0,	110635
1474167534.0,	110646
1474167588.0,	110688
1474167642.0,	110720
1474167696.0,	110925
1474167749.0,	110930
1474167803.0,	110946
1474167858.0,	110983
1474167965.0,	111013
1474168024.0,	111175
1474168077.0,	111245
1474168186.0,	111250
1474168239.0,	111324
1474168293.0,	111525
1474168346.0,	111584
1474168399.0,	111589
1474168506.0,	111689
1474168560.0,	111742
1474168666.0,	111902
1474168720.0,	111904
1474168774.0,	111924
1474168828.0,	112007
1474168986.0,	112024
1474169148.0,	112094
1474169256.0,	112211
1474169309.0,	112271
1474169523.0,	112281
1474169576.0,	112401
1474169630.0,	112422
1474169684.0,	112467
1474169790.0,	112494
1474169843.0,	112694
1474170003.0,	112794
1474170056.0,	112804
1474170109.0,	112834
1474170163.0,	112845
1474170217.0,	112885
1474170270.0,	112916
1474170324.0,	112947
1474170485.0,	113056
1474170538.0,	113107
1474170592.0,	113112
1474170645.0,	113122
1474170698.0,	113226
1474170751.0,	113291
1474170804.0,	113321
1474170858.0,	113488
1474170965.0,	113520
1474171071.0,	113571
1474171125.0,	114181
1474171184.0,	114199
1474171238.0,	114209
1474171292.0,	114229
1474171345.0,	114239
1474171399.0,	114252
1474171506.0,	114425
1474171559.0,	114465
1474171613.0,	114491
1474171667.0,	114500
1474171720.0,	114514
1474171773.0,	114550
1474171827.0,	114753
1474171881.0,	114763
1474171987.0,	114866
1474172040.0,	114926
1474172094.0,	114938
1474172149.0,	114984
1474172202.0,	115088
1474172256.0,	115101
1474172310.0,	115154
1474172416.0,	115264
1474172629.0,	115431
1474172682.0,	115441
1474172735.0,	115522
1474172790.0,	115532
1474173056.0,	115542
1474173319.0,	115594
1474173634.0,	115604
1474175372.0,	115634
1474175846.0,	115645
1474176267.0,	115655
1474177953.0,	115667
1474178217.0,	115697
1474178322.0,	115699
1474178849.0,	115734
1474179060.0,	115744
1474180748.0,	115754
1474180958.0,	115755
1474181287.0,	115759
1474181504.0,	115769
1474181556.0,	115869
1474182870.0,	115875
1474183396.0,	116005
1474183554.0,	116015
1474183922.0,	116017
1474184132.0,	116032
1474185079.0,	116043
1474185289.0,	116143
1474185447.0,	116153
1474186867.0,	116159
1474188444.0,	116189
1474188602.0,	116221
1474189075.0,	116231
1474189128.0,	116241
1474189496.0,	116291
1474190074.0,	116320
1474191861.0,	116340
1474192387.0,	116342
1474192913.0,	116372
1474193491.0,	116382
1474193649.0,	116392
1474195490.0,	116403
1474196278.0,	116407
1474197540.0,	116417
1474197645.0,	116517
1474198907.0,	116547
1474199119.0,	116557
1474200223.0,	116567
1474201544.0,	116577
1474204439.0,	116579
1474204650.0,	116580
1474204965.0,	116690
1474206809.0,	116700
1474207440.0,	116708
1474207493.0,	116733
1474208019.0,	116734
1474209020.0,	116746
1474210025.0,	116756
1474210448.0,	116766
1474210658.0,	116796
1474211606.0,	116806
1474211817.0,	116816
1474211975.0,	116876
1474212397.0,	116906
1474213714.0,	116936
1474214084.0,	116946
1474214505.0,	116974
1474214875.0,	117004
1474214928.0,	117014
1474215034.0,	117039
1474215192.0,	117044
1474215244.0,	117186
1474215297.0,	117196
1474215350.0,	117306
1474215402.0,	117434
1474215455.0,	117584
1474215508.0,	117644
1474215561.0,	117744
1474215720.0,	118076
1474215772.0,	118126
1474215825.0,	118176
1474215878.0,	118186
1474215931.0,	118408
1474215983.0,	118438
1474216089.0,	118443
1474216141.0,	118493
1474216194.0,	118553
1474216248.0,	118568
1474216354.0,	118728
1474216406.0,	118850
1474216516.0,	118859
1474216569.0,	118959
1474216621.0,	119069
1474216674.0,	119079
1474216780.0,	119229
1474216833.0,	119239
1474216887.0,	119319
1474216993.0,	119470
1474217052.0,	119485
1474217105.0,	119585
1474217159.0,	119621
1474217213.0,	119825
1474217268.0,	119865
1474217323.0,	120093
1474217377.0,	121093
1474217432.0,	121123
1474217486.0,	121305
1474217595.0,	121349
1474217649.0,	121359
1474217703.0,	121452
1474217756.0,	121489
1474217809.0,	121689
1474217971.0,	121724
1474218025.0,	121733
1474218187.0,	121743
1474218240.0,	121753
1474218347.0,	121763
1474218507.0,	121787
1474218615.0,	121801
